spot,maturity,price,delta,gamma,vega,payoff
96.5,0.2,2.37645,0.404468,0.0448892,16.7208,0
97,0.2,2.58431,0.426999,0.0452106,17.0155,0
97.5,0.2,2.80347,0.449653,0.045382,17.2565,0
98,0.2,3.03397,0.472356,0.0454041,17.4424,0
98.5,0.2,3.27582,0.495033,0.0452788,17.5723,0
99,0.2,3.52899,0.517611,0.0450097,17.6456,0
99.5,0.2,3.7934,0.540019,0.0446015,17.6626,0
100,0.2,4.06897,0.56219,0.04406,17.624,0
100.5,0.2,4.35554,0.584058,0.0433923,17.5309,0.5
101,0.2,4.65296,0.605563,0.0426063,17.3851,1
101.5,0.2,4.96104,0.626647,0.0417106,17.1885,1.5
102,0.2,5.27953,0.647257,0.0407146,16.9438,2
102.5,0.2,5.6082,0.667346,0.0396282,16.6538,2.5
103,0.2,5.94678,0.686872,0.0384616,16.3215,3
103.5,0.2,6.29498,0.705796,0.0372251,15.9506,3.5
104,0.2,6.65247,0.724087,0.0359294,15.5445,4
104.5,0.2,7.01895,0.741717,0.0345848,15.107,4.5
105,0.2,7.39408,0.758665,0.0332017,14.6419,5
105.5,0.2,7.7775,0.774914,0.03179,14.1532,5.5
106,0.2,8.16887,0.790452,0.0303595,13.6448,6
106.5,0.2,8.56783,0.805272,0.0289193,13.1204,6.5
107,0.2,8.97403,0.819371,0.027478,12.5838,7
107.5,0.2,9.38709,0.832751,0.0260438,12.0387,7.5
108,0.2,9.80666,0.845417,0.024624,11.4886,8
108.5,0.2,10.2324,0.857379,0.0232255,10.9367,8.5
109,0.2,10.6639,0.868648,0.0218544,10.3861,9
109.5,0.2,11.1009,0.879239,0.020516,9.8397,9.5
110,0.2,11.543,0.88917,0.0192151,9.30013,10
110.5,0.2,11.99,0.898461,0.0179558,8.76977,10.5
111,0.2,12.4414,0.907133,0.0167412,8.25075,11
111.5,0.2,12.897,0.91521,0.0155743,7.74496,11.5
112,0.2,13.3565,0.922716,0.0144571,7.25401,12
112.5,0.2,13.8196,0.929676,0.0133912,6.77929,12.5
113,0.2,14.2861,0.936116,0.0123775,6.32195,13
113.5,0.2,14.7557,0.942062,0.0114167,5.88289,13.5
114,0.2,15.2281,0.947541,0.0105087,5.46283,14
114.5,0.2,15.7031,0.952579,0.0096532,5.06224,14.5
115,0.2,16.1806,0.957203,0.00884958,4.68143,15
115.5,0.2,16.6603,0.961437,0.00809681,4.32054,15.5
116,0.2,17.142,0.965308,0.00739362,3.97954,16
116.5,0.2,17.6255,0.968839,0.0067385,3.65826,16.5
117,0.2,18.1108,0.972054,0.00612977,3.35642,17
117.5,0.2,18.5975,0.974976,0.00556559,3.0736,17.5
118,0.2,19.0857,0.977627,0.005044,2.80931,18
118.5,0.2,19.5751,0.980027,0.00456297,2.56297,18.5
119,0.2,20.0657,0.982196,0.00412039,2.33395,19
119.5,0.2,20.5573,0.984153,0.00371414,2.12155,19.5
120,0.2,21.0498,0.985916,0.00334209,1.92505,20
80,0.5,0.456155,0.0916972,0.0145538,9.31443,0
80.5,0.5,0.503855,0.0991658,0.0153216,9.92877,0
81,0.5,0.555385,0.10702,0.0160938,10.5591,0
81.5,0.5,0.610939,0.11526,0.0168677,11.2039,0
82,0.5,0.670709,0.123887,0.0176406,11.8615,0
82.5,0.5,0.73489,0.1329,0.0184098,12.5302,0
83,0.5,0.803673,0.142296,0.0191724,13.2079,0
83.5,0.5,0.877249,0.152071,0.0199257,13.8927,0
84,0.5,0.955806,0.162219,0.0206668,14.5825,0
84.5,0.5,1.03953,0.172735,0.021393,15.2751,0
85,0.5,1.1286,0.183609,0.0221016,15.9684,0
85.5,0.5,1.2232,0.194833,0.02279,16.66,0
86,0.5,1.32349,0.206396,0.0234556,17.3477,0
86.5,0.5,1.42965,0.218285,0.0240959,18.0292,0
87,0.5,1.54183,0.230487,0.0247087,18.702,0
87.5,0.5,1.66018,0.242988,0.0252918,19.364,0
88,0.5,1.78486,0.255773,0.025843,20.0128,0
88.5,0.5,1.916,0.268826,0.0263606,20.6463,0
89,0.5,2.05373,0.282128,0.0268428,21.2622,0
89.5,0.5,2.19817,0.295662,0.0272881,21.8584,0
90,0.5,2.34943,0.30941,0.027695,22.433,0
90.5,0.5,2.50761,0.323351,0.0280626,22.9839,0
91,0.5,2.67281,0.337466,0.0283897,23.5095,0
91.5,0.5,2.8451,0.351734,0.0286755,24.0079,0
92,0.5,3.02456,0.366134,0.0289196,24.4776,0
92.5,0.5,3.21125,0.380646,0.0291215,24.9171,0
93,0.5,3.40523,0.395249,0.029281,25.3252,0
93.5,0.5,3.60651,0.40992,0.0293981,25.7006,0
94,0.5,3.81515,0.42464,0.029473,26.0424,0
94.5,0.5,4.03116,0.439386,0.0295061,26.3497,0
95,0.5,4.25454,0.454139,0.0294978,26.6217,0
95.5,0.5,4.4853,0.468877,0.0294488,26.858,0
96,0.5,4.72341,0.483581,0.02936,27.0582,0
96.5,0.5,4.96887,0.498231,0.0292323,27.2219,0
97,0.5,5.22163,0.512807,0.029067,27.3491,0
97.5,0.5,5.48166,0.527292,0.0288651,27.4399,0
98,0.5,5.7489,0.541666,0.028628,27.4944,0
98.5,0.5,6.0233,0.555914,0.0283573,27.513,0
99,0.5,6.30479,0.570018,0.0280544,27.4961,0
99.5,0.5,6.5933,0.583963,0.027721,27.4445,0
100,0.5,6.88873,0.597734,0.0273587,27.3587,0
100.5,0.5,7.191,0.611318,0.0269692,27.2396,0.5
